task,"('google/gemma-3-270m-it', 'Base')","('google/gemma-3-270m-it', 'Best Skip Layer')","('google/gemma-3-270m-it', 'Performance')","('google/gemma-3-270m-it', 'Candidate Count')","('google/gemma-3-1b-it', 'Base')","('google/gemma-3-1b-it', 'Best Skip Layer')","('google/gemma-3-1b-it', 'Performance')","('google/gemma-3-1b-it', 'Candidate Count')","('meta-llama/Llama-3.2-1B-Instruct', 'Base')","('meta-llama/Llama-3.2-1B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-1B-Instruct', 'Performance')","('meta-llama/Llama-3.2-1B-Instruct', 'Candidate Count')","('meta-llama/Llama-3.2-3B-Instruct', 'Base')","('meta-llama/Llama-3.2-3B-Instruct', 'Best Skip Layer')","('meta-llama/Llama-3.2-3B-Instruct', 'Performance')","('meta-llama/Llama-3.2-3B-Instruct', 'Candidate Count')","('Qwen/Qwen3-1.7B', 'Base')","('Qwen/Qwen3-1.7B', 'Best Skip Layer')","('Qwen/Qwen3-1.7B', 'Performance')","('Qwen/Qwen3-1.7B', 'Candidate Count')","('Qwen/Qwen3-4B', 'Base')","('Qwen/Qwen3-4B', 'Best Skip Layer')","('Qwen/Qwen3-4B', 'Performance')","('Qwen/Qwen3-4B', 'Candidate Count')","('Qwen/Qwen3-8B', 'Base')","('Qwen/Qwen3-8B', 'Best Skip Layer')","('Qwen/Qwen3-8B', 'Performance')","('Qwen/Qwen3-8B', 'Candidate Count')","('allenai/OLMo-2-0425-1B-Instruct', 'Base')","('allenai/OLMo-2-0425-1B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-0425-1B-Instruct', 'Performance')","('allenai/OLMo-2-0425-1B-Instruct', 'Candidate Count')","('allenai/OLMo-2-1124-7B-Instruct', 'Base')","('allenai/OLMo-2-1124-7B-Instruct', 'Best Skip Layer')","('allenai/OLMo-2-1124-7B-Instruct', 'Performance')","('allenai/OLMo-2-1124-7B-Instruct', 'Candidate Count')"
global_mmlu_full_ar_formal_logic,23.02%,11,+13.49%,10,35.71%,21,+1.59%,1,27.78%,13,+7.94%,1,26.98%,24,+7.94%,11,34.13%,18,+5.56%,11,49.21%,7,+2.38%,7,58.73%,34,+3.97%,1,32.54%,8,+2.38%,1,23.02%,2,+8.73%,25
global_mmlu_full_ar_high_school_european_history,24.85%,8,+3.64%,3,35.15%,20,+3.03%,5,36.97%,11,+3.64%,2,49.70%,27,+2.42%,4,53.33%,24,+1.82%,5,69.70%,27,+1.21%,5,70.91%,15,+1.82%,4,29.70%,7,0.00%,0,43.03%,31,+3.03%,5
global_mmlu_full_ar_high_school_us_history,24.51%,5,+2.94%,11,38.24%,18,+2.94%,4,34.31%,14,+1.96%,1,42.16%,16,+2.94%,4,37.75%,16,+2.94%,7,59.80%,34,+1.96%,3,68.14%,22,+1.96%,8,32.84%,12,+1.47%,2,37.25%,19,+3.92%,7
global_mmlu_full_ar_high_school_world_history,23.21%,17,+6.75%,16,36.29%,24,+3.80%,5,37.55%,14,+2.53%,1,58.23%,16,+1.69%,3,54.43%,25,+1.27%,3,70.46%,25,+3.38%,8,71.73%,16,+3.80%,15,29.96%,12,+2.95%,3,45.99%,24,0.00%,0
global_mmlu_full_ar_international_law,22.31%,8,+10.74%,14,37.19%,18,+4.96%,8,52.07%,15,-1.65%,0,61.98%,16,+2.48%,3,56.20%,18,+4.13%,7,67.77%,31,+0.83%,1,72.73%,2,+2.48%,3,30.58%,11,+3.31%,2,45.45%,15,+4.96%,7
global_mmlu_full_ar_jurisprudence,26.85%,16,+4.63%,3,33.33%,20,+2.78%,1,42.59%,15,0.00%,0,57.41%,24,-0.93%,0,44.44%,22,+1.85%,2,56.48%,27,+2.78%,5,63.89%,28,+1.85%,2,36.11%,13,+3.70%,2,41.67%,12,+6.48%,15
global_mmlu_full_ar_logical_fallacies,26.99%,17,+4.29%,5,34.97%,24,+1.23%,1,29.45%,11,+4.91%,7,47.24%,20,+1.23%,3,44.79%,24,+2.45%,2,57.67%,26,+1.23%,1,55.21%,25,+3.07%,4,26.99%,11,+1.84%,4,41.10%,29,+0.61%,1
global_mmlu_full_ar_moral_disputes,26.01%,17,+4.05%,8,35.55%,18,+1.73%,5,31.50%,11,+3.18%,4,50.29%,21,0.00%,0,46.82%,20,+1.16%,6,54.34%,27,0.00%,0,58.96%,2,+0.29%,1,34.39%,14,-0.87%,0,43.64%,19,+1.16%,6
global_mmlu_full_ar_moral_scenarios,24.25%,11,+3.02%,4,23.46%,5,+2.46%,18,24.25%,13,+3.13%,8,25.36%,20,+2.01%,11,24.25%,4,+2.23%,4,30.84%,2,+0.67%,5,33.52%,12,+2.01%,4,24.36%,14,+1.68%,4,25.92%,28,+1.68%,3
global_mmlu_full_ar_philosophy,29.90%,17,+5.47%,2,31.83%,20,+3.86%,9,36.33%,15,+1.93%,1,45.66%,20,+2.25%,4,39.87%,10,+0.32%,2,50.16%,13,+2.25%,7,61.74%,21,+1.61%,8,31.19%,12,+1.61%,2,41.16%,25,+1.93%,8
